yq,bin,n_ai,n_non,ew_spread,vw_spread
2021Q3,ConsStaples,7,137,-0.08461752711741818,-0.10852468494109987
2021Q3,Energy,3,209,-0.20964570471211322,-0.4261666117314964
2021Q3,Financials,47,471,-0.11941978114148968,-0.12815256254541485
2021Q3,HealthCare,87,666,-0.022251652923888143,-0.00324833891508311
2021Q3,Industrials,50,463,-0.08020609579204854,-0.08130206534139123
2021Q3,InfoTech,158,357,-0.07646459425582885,-0.11552088981325137
2021Q3,Materials,12,173,-0.15465256729662902,-0.070067839425494
2021Q3,RealEstate,9,167,-0.08185003850760231,-0.01773954855560722
2021Q3,Utilities,3,73,0.020779734147007067,0.0019808044586553386
2021Q4,CommSvc,39,143,-0.019793661371533433,-0.1976334977006261
2021Q4,ConsDiscr,48,424,-0.0036674223310531606,-0.034250050262278287
2021Q4,ConsStaples,16,133,0.16419062500757034,0.02966015394678001
2021Q4,Energy,10,199,-0.058568319788184775,-0.13051140078016993
2021Q4,Financials,44,471,-0.09468424411629472,0.041885107079243616
2021Q4,HealthCare,87,659,-0.01681447012420617,-0.08861824140927513
2021Q4,Industrials,65,461,-0.044092760055705144,-0.04995876812593257
2021Q4,InfoTech,170,362,-0.07217288179147868,-0.045943503891077764
2021Q4,Materials,8,174,0.007671169636599404,0.018676698756323024
2021Q4,RealEstate,13,155,-0.0332184021084741,0.012887764433220816
